Title,Address,Latitude,Longitude,Original_URL
Eye Care Services - Henderson,"61 E Lake Mead Pkwy, Henderson, NV 89015, United States",36.0374755,-114.9845352,https://www.google.com/maps/place/Eye+Care+Services+-+Henderson/data=!4m2!3m1!1s0x80c8d6b97f77e715:0x38681c77923946a0
Sunburst Optical,"8140 S Houghton Rd #140, Tucson, AZ 85747, United States",32.1039457,-110.7747015,https://www.google.com/maps/place/Sunburst+Optical/data=!4m2!3m1!1s0x86d66117cceef1c7:0xc2fa44c0c2400102
Advanced Eyecare of Arizona,"5979 E Grant Rd #107, Tucson, AZ 85712, United States",32.2512859,-110.8640639,https://www.google.com/maps/place/Advanced+Eyecare+of+Arizona/data=!4m2!3m1!1s0x872ba63b44b0d9ff:0x1eadf18212fcbca0
Prescott Valley Eye Care,"3153 N Windsong Dr, Prescott Valley, AZ 86314, United States",34.5888746,-112.3263244,https://www.google.com/maps/place/Prescott+Valley+Eye+Care/data=!4m2!3m1!1s0x872d23fbbf9ec9cd:0x8cc93b03abda0fca
The Frame Doctor,"950 W Prince Rd, Tucson, AZ 85705, United States",32.2724895,-110.9881525,https://www.google.com/maps/place/The+Frame+Doctor/data=!4m2!3m1!1s0x872b0dab578b89af:0x500a7113cc2af316
"Optics of Scottsdale - Jill Rago, OD","20301 Hayden Rd, Scottsdale, AZ 85255, United States",33.669721,-111.9047261,"https://www.google.com/maps/place/Optics+of+Scottsdale+-+Jill+Rago,+OD/data=!4m2!3m1!1s0x872b76f583aaecd9:0xbec61a8780672ba5"
Lumina Vision Partners,"4222 E Thomas Rd Ste 310, Phoenix, AZ 85018, United States",33.4808101,-111.9907728,https://www.google.com/maps/place/Lumina+Vision+Partners/data=!4m2!3m1!1s0x872b0bbda69aaaab:0xb45127c83f5689b7
Focused on Eyes,"2350 W Ray Rd Suite 1, Chandler, AZ 85224, United States",33.3213854,-111.8820572,https://www.google.com/maps/place/Focused+on+Eyes/data=!4m2!3m1!1s0x872b07386881e695:0xa00032559aacfcf7
Abbott Eye Care - A Division of Experts On Sight,"1919 E McKellips Rd STE 103, Mesa, AZ 85203, United States",33.4511981,-111.7895042,https://www.google.com/maps/place/Abbott+Eye+Care+-+A+Division+of+Experts+On+Sight/data=!4m2!3m1!1s0x872ba65f1a35a9e7:0x74883deac5898dc5
"Dr. James W. Reed, OD","1356 S Gilbert Rd #3, Mesa, AZ 85204, United States",33.390207,-111.789555,"https://www.google.com/maps/place/Dr.+James+W.+Reed,+OD/data=!4m2!3m1!1s0x872ba894b7f08c19:0x50617d889c4e94c2"
Nuvision Centers - Phoenix,"14001 N 7th St B103, Phoenix, AZ 85022, United States",33.6132556,-112.0646276,https://www.google.com/maps/place/Nuvision+Centers+-+Phoenix/data=!4m2!3m1!1s0x872b6de3d1e25b81:0x1379c7951cb67c24
